VisitYear,VisitMonth,VisitMode,AttractionTypeId,Country,Region,Continent,Rating
2022,10,Couples,63,Australia,Australia,Australia & Oceania,5
2022,10,Friends,63,Canada,Northern America,America,5
2022,10,Family,63,United States,Northern America,America,5
2022,10,Family,63,Canada,Northern America,America,3
2022,10,Couples,63,United States,Northern America,America,3
2022,10,Friends,63,United States,Northern America,America,5
2022,9,Couples,63,Tanzania,East Africa,Africa,4
2022,10,Friends,63,United Kingdom,Western Europe,Europe,5
2022,9,Couples,63,South Africa,Southern Africa,Africa,3
2022,9,Couples,63,Egypt,North Africa,Africa,5
2022,9,Couples,63,United Kingdom,Western Europe,Europe,5
2022,9,Couples,63,Australia,Australia,Australia & Oceania,5
2022,9,Friends,63,New Zealand,Oceania,Australia & Oceania,3
2022,8,Couples,63,United States,Northern America,America,4
2022,9,Couples,63,Australia,Australia,Australia & Oceania,4
2022,9,Couples,63,Australia,Australia,Australia & Oceania,5
2022,9,Friends,63,United Kingdom,Western Europe,Europe,3
2022,8,Couples,63,Australia,Australia,Australia & Oceania,4
2022,7,Family,63,Australia,Australia,Australia & Oceania,4
2022,7,Solo,63,United Arab Emirates,Middle East,Asia,5
2022,8,Family,63,United Kingdom,Western Europe,Europe,1
2022,8,Couples,63,Turkey,Middle East,Asia,5
2022,8,Couples,63,South Africa,Southern Africa,Africa,5
2022,6,Couples,63,United States,Northern America,America,5
2022,7,Couples,63,Canada,Northern America,America,4
2022,7,Couples,63,United Kingdom,Western Europe,Europe,5
2022,7,Couples,63,United States,Northern America,America,5
2022,7,Couples,63,Indonesia,South East Asia,Asia,5
2022,7,Couples,63,Australia,Australia,Australia & Oceania,4
2022,7,Couples,63,India,South Asia,Asia,5
2022,7,Family,63,Australia,Australia,Australia & Oceania,5
2022,7,Friends,63,Switzerland,Central Europe,Europe,3
2022,7,Friends,63,United States,Northern America,America,5
2022,7,Family,63,Australia,Australia,Australia & Oceania,4
2022,6,Couples,63,United States,Northern America,America,1
2022,6,Family,63,Australia,Australia,Australia & Oceania,5
2022,6,Family,63,India,South Asia,Asia,4
2022,6,Solo,63,Egypt,North Africa,Africa,3
2022,6,Friends,63,United Arab Emirates,Middle East,Asia,5
2022,6,Couples,63,Malta,Southern Europe,Europe,5
2022,5,Friends,63,India,South Asia,Asia,4
2022,5,Couples,63,United Kingdom,Western Europe,Europe,4
2022,5,Couples,63,Indonesia,South East Asia,Asia,5
2022,4,Family,63,Canada,Northern America,America,2
2022,4,Family,63,Canada,Northern America,America,4
2021,10,Couples,63,Indonesia,South East Asia,Asia,5
2021,11,Friends,63,Indonesia,South East Asia,Asia,5
2021,7,Friends,63,United Kingdom,Western Europe,Europe,5
2020,10,Solo,63,Australia,Australia,Australia & Oceania,5
2021,5,Solo,63,Indonesia,South East Asia,Asia,5
2021,1,Couples,63,Canada,Northern America,America,4
2021,1,Couples,63,South Africa,Southern Africa,Africa,5
2020,12,Friends,63,Indonesia,South East Asia,Asia,5
2020,1,Family,63,United States,Northern America,America,5
2020,12,Couples,63,Indonesia,South East Asia,Asia,5
2019,11,Couples,63,South Africa,Southern Africa,Africa,4
2019,10,Couples,63,United States,Northern America,America,5
2019,12,Couples,63,Australia,Australia,Australia & Oceania,5
2020,3,Couples,63,United Kingdom,Western Europe,Europe,4
2020,4,Friends,63,Canada,Northern America,America,5
2019,7,Family,63,Indonesia,South East Asia,Asia,4
2020,3,Couples,63,Canada,Northern America,America,5
2019,11,Couples,63,United States,Northern America,America,5
2020,3,Couples,63,United States,Northern America,America,5
2020,3,Couples,63,United States,Northern America,America,4
2020,3,Friends,63,New Zealand,Oceania,Australia & Oceania,4
2020,3,Friends,63,United Kingdom,Western Europe,Europe,3
2020,3,Friends,63,Canada,Northern America,America,5
2019,8,Family,63,United States,Northern America,America,3
2019,6,Friends,63,United States,Northern America,America,2
2020,3,Couples,63,United Kingdom,Western Europe,Europe,5
2020,3,Couples,63,Germany,Central Europe,Europe,4
2020,3,Couples,63,United Kingdom,Western Europe,Europe,5
2020,3,Couples,63,United States,Northern America,America,5
2020,3,Family,63,Australia,Australia,Australia & Oceania,5
2020,2,Solo,63,Canada,Northern America,America,4
2020,3,Couples,63,United States,Northern America,America,5
2020,2,Family,63,United Arab Emirates,Middle East,Asia,5
2020,3,Friends,63,United Kingdom,Western Europe,Europe,5
2019,4,Friends,63,United States,Northern America,America,5
2020,3,Family,63,New Zealand,Oceania,Australia & Oceania,5
2020,2,Family,63,France,Western Europe,Europe,4
2020,1,Couples,63,United Kingdom,Western Europe,Europe,5
2020,3,Couples,63,United Kingdom,Western Europe,Europe,4
2020,3,Couples,63,United States,Northern America,America,5
2019,6,Couples,63,Indonesia,South East Asia,Asia,5
2020,3,Couples,63,Sweden,Northern Europe,Europe,3
2020,3,Couples,63,Moldova,Southern Europe,Europe,5
2020,3,Couples,63,New Zealand,Oceania,Australia & Oceania,5
2020,3,Couples,63,United Kingdom,Western Europe,Europe,5
2020,3,Couples,63,Canada,Northern America,America,4
2020,3,Couples,63,Canada,Northern America,America,4
2020,3,Family,63,Indonesia,South East Asia,Asia,4
2020,3,Friends,63,China,East Asia,Asia,4
2020,1,Friends,63,United States,Northern America,America,5
2020,2,Couples,63,New Zealand,Oceania,Australia & Oceania,5
2020,3,Solo,63,Indonesia,South East Asia,Asia,5
2020,2,Friends,63,United States,Northern America,America,4
2020,2,Solo,63,Vietnam,South East Asia,Asia,5
2020,2,Solo,63,Qatar,Middle East,Asia,4
2020,2,Couples,63,United States,Northern America,America,5
2020,2,Solo,63,United States,Northern America,America,4
2020,2,Friends,63,Australia,Australia,Australia & Oceania,5
2020,2,Couples,63,United States,Northern America,America,5
2020,2,Friends,63,Sweden,Northern Europe,Europe,5
2020,2,Friends,63,Canada,Northern America,America,3
2020,2,Couples,63,United States,Northern America,America,5
2020,2,Family,63,Chile,South America,America,5
2020,2,Couples,63,Australia,Australia,Australia & Oceania,5
2019,4,Family,63,Canada,Northern America,America,5
2020,2,Couples,63,Australia,Australia,Australia & Oceania,4
2020,2,Couples,63,United States,Northern America,America,3
2020,2,Couples,63,United States,Northern America,America,5
2020,2,Couples,63,Brazil,South America,America,4
2020,1,Family,63,United States,Northern America,America,5
2020,2,Couples,63,Australia,Australia,Australia & Oceania,5
2020,2,Couples,63,United States,Northern America,America,5
2020,2,Couples,63,Canada,Northern America,America,5
2020,2,Couples,63,Norway,Northern Europe,Europe,5
2020,2,Couples,63,United States,Northern America,America,3
2020,2,Couples,63,United Kingdom,Western Europe,Europe,5
2020,2,Friends,63,Canada,Northern America,America,4
2020,1,Family,63,United States,Northern America,America,5
2020,2,Friends,63,China,East Asia,Asia,1
2020,2,Solo,63,Canada,Northern America,America,5
2020,2,Couples,63,United Kingdom,Western Europe,Europe,4
2020,2,Couples,63,United Kingdom,Western Europe,Europe,2
2020,2,Friends,63,Latvia,Central Europe,Europe,5
2020,2,Couples,63,United States,Northern America,America,4
2020,2,Couples,63,Canada,Northern America,America,5
2019,5,Friends,63,Finland,Northern Europe,Europe,5
2020,2,Solo,63,Mexico,Northern America,America,5
2020,2,Friends,63,United States,Northern America,America,5
2020,2,Couples,63,United States,Northern America,America,5
2020,1,Couples,63,United Kingdom,Western Europe,Europe,5
2020,2,Friends,63,Indonesia,South East Asia,Asia,2
2019,10,Friends,63,Canada,Northern America,America,5
2020,2,Solo,63,Thailand,South East Asia,Asia,4
2020,2,Family,63,Canada,Northern America,America,5
2020,2,Friends,63,Australia,Australia,Australia & Oceania,5
2019,3,Family,63,New Zealand,Oceania,Australia & Oceania,4
2020,1,Couples,63,United States,Northern America,America,5
2020,1,Family,63,Croatia,Central Europe,Europe,3
2020,1,Family,63,United States,Northern America,America,5
2020,1,Solo,63,Australia,Australia,Australia & Oceania,3
2020,1,Friends,63,Indonesia,South East Asia,Asia,4
2020,1,Friends,63,Canada,Northern America,America,4
2020,1,Couples,63,United Kingdom,Western Europe,Europe,5
2020,1,Couples,63,United States,Northern America,America,5
2020,1,Family,63,India,South Asia,Asia,4
2020,1,Couples,63,United Kingdom,Western Europe,Europe,5
2020,1,Friends,63,United States,Northern America,America,4
2020,1,Solo,63,Australia,Australia,Australia & Oceania,4
2020,1,Family,63,Canada,Northern America,America,3
2020,1,Family,63,Denmark,Northern Europe,Europe,3
2020,1,Couples,63,United States,Northern America,America,5
2020,1,Couples,63,United States,Northern America,America,5
2020,1,Solo,63,United States,Northern America,America,5
2020,1,Couples,63,Philippines,South East Asia,Asia,5
2020,1,Family,63,Indonesia,South East Asia,Asia,5
2020,1,Friends,63,Morocco,North Africa,Africa,5
2020,1,Family,63,Australia,Australia,Australia & Oceania,5
2020,1,Couples,63,Egypt,North Africa,Africa,5
2020,1,Friends,63,Vietnam,South East Asia,Asia,5
2020,1,Couples,63,Seychelles,East Africa,Africa,5
2020,1,Family,63,Canada,Northern America,America,5
2020,1,Couples,63,Canada,Northern America,America,4
2019,12,Family,63,India,South Asia,Asia,3
2020,1,Solo,63,Maldives,South Asia,Asia,5
2020,1,Couples,63,United States,Northern America,America,1
2020,1,Friends,63,United States,Northern America,America,5
2020,1,Couples,63,Spain,Southern Europe,Europe,4
2020,1,Friends,63,Canada,Northern America,America,5
2020,1,Family,63,Canada,Northern America,America,4
2020,1,Couples,63,Brazil,South America,America,5
2020,1,Couples,63,India,South Asia,Asia,4
2020,1,Family,63,United States,Northern America,America,5
2020,1,Couples,63,Thailand,South East Asia,Asia,5
2020,1,Couples,63,Canada,Northern America,America,5
2019,12,Family,63,Australia,Australia,Australia & Oceania,4
2019,12,Couples,63,Spain,Southern Europe,Europe,4
2020,1,Family,63,Australia,Australia,Australia & Oceania,5
2019,12,Friends,63,Indonesia,South East Asia,Asia,5
2020,1,Family,63,Mexico,Northern America,America,5
2020,1,Family,63,Australia,Australia,Australia & Oceania,5
2020,1,Couples,63,Australia,Australia,Australia & Oceania,3
2020,1,Couples,63,Australia,Australia,Australia & Oceania,4
2020,1,Couples,63,New Zealand,Oceania,Australia & Oceania,3
2019,11,Couples,63,Canada,Northern America,America,4
2019,12,Family,63,Singapore,South East Asia,Asia,5
2020,1,Friends,63,United Kingdom,Western Europe,Europe,5
2020,1,Couples,63,United Kingdom,Western Europe,Europe,5
2020,1,Family,63,United States,Northern America,America,5
2019,12,Couples,63,South Africa,Southern Africa,Africa,3
2019,12,Couples,63,United States,Northern America,America,4
2020,1,Family,63,South Africa,Southern Africa,Africa,5
2019,8,Family,63,Jordan,Middle East,Asia,5
2019,12,Friends,63,Slovakia,Central Europe,Europe,5
2020,1,Family,63,Thailand,South East Asia,Asia,5
2020,1,Solo,63,United Arab Emirates,Middle East,Asia,2
2019,10,Friends,63,United States,Northern America,America,5
2020,1,Couples,63,New Zealand,Oceania,Australia & Oceania,3
2020,1,Family,63,United States,Northern America,America,4
2020,1,Friends,63,Sweden,Northern Europe,Europe,5
2020,1,Friends,63,Portugal,Southern Europe,Europe,5
2019,12,Couples,63,Australia,Australia,Australia & Oceania,5
2020,1,Friends,63,United States,Northern America,America,4
2020,1,Friends,63,Brazil,South America,America,4
2020,1,Solo,63,United States,Northern America,America,5
2019,12,Couples,63,South Africa,Southern Africa,Africa,5
2020,1,Couples,63,Turkey,Middle East,Asia,5
2020,1,Couples,63,United States,Northern America,America,5
2019,12,Couples,63,New Zealand,Oceania,Australia & Oceania,5
2020,1,Family,63,United States,Northern America,America,5
2019,12,Couples,63,Japan,East Asia,Asia,4
2019,4,Solo,63,United Kingdom,Western Europe,Europe,5
2019,12,Family,63,Italy,Southern Europe,Europe,5
2020,1,Friends,63,Denmark,Northern Europe,Europe,5
2019,12,Friends,63,United States,Northern America,America,5
2020,1,Solo,63,India,South Asia,Asia,5
2019,12,Friends,63,Australia,Australia,Australia & Oceania,5
2019,12,Family,63,Cyprus,Middle East,Asia,5
2019,12,Family,63,Australia,Australia,Australia & Oceania,4
2020,1,Family,63,Australia,Australia,Australia & Oceania,3
2019,12,Couples,63,Australia,Australia,Australia & Oceania,5
2019,12,Family,63,United Kingdom,Western Europe,Europe,5
2019,12,Couples,63,China,East Asia,Asia,5
2019,12,Solo,63,Canada,Northern America,America,5
2019,12,Family,63,Australia,Australia,Australia & Oceania,5
2019,12,Friends,63,Indonesia,South East Asia,Asia,5
2019,12,Family,63,Malaysia,South East Asia,Asia,5
2019,12,Solo,63,Australia,Australia,Australia & Oceania,5
2019,12,Family,63,Canada,Northern America,America,5
2019,12,Family,63,Belgium,Western Europe,Europe,4
2019,12,Couples,63,China,East Asia,Asia,5
2019,12,Couples,63,United States,Northern America,America,5
2019,12,Couples,63,United States,Northern America,America,3
2019,12,Family,63,Tanzania,East Africa,Africa,3
2019,12,Couples,63,Australia,Australia,Australia & Oceania,5
2019,12,Friends,63,United States,Northern America,America,3
2019,12,Family,63,Romania,Central Europe,Europe,4
2019,12,Family,63,United Kingdom,Western Europe,Europe,5
2019,12,Family,63,India,South Asia,Asia,3
2019,12,Couples,63,United States,Northern America,America,4
2019,12,Couples,63,South Africa,Southern Africa,Africa,4
2019,12,Family,63,Singapore,South East Asia,Asia,4
2019,12,Family,63,Vietnam,South East Asia,Asia,5
2019,12,Couples,63,Singapore,South East Asia,Asia,4
2019,12,Couples,63,Singapore,South East Asia,Asia,3
2019,12,Couples,63,Australia,Australia,Australia & Oceania,4
2019,12,Couples,63,Romania,Central Europe,Europe,4
2019,12,Couples,63,Denmark,Northern Europe,Europe,5
2019,12,Friends,63,Canada,Northern America,America,5
2019,12,Solo,63,United States,Northern America,America,5
2019,12,Couples,63,United States,Northern America,America,5
2019,12,Couples,63,Canada,Northern America,America,5
2019,12,Family,63,Mauritius,East Africa,Africa,5
2019,12,Solo,63,Canada,Northern America,America,4
2019,12,Family,63,New Zealand,Oceania,Australia & Oceania,4
2019,12,Family,63,Singapore,South East Asia,Asia,4
2019,12,Family,63,Australia,Australia,Australia & Oceania,3
2019,12,Friends,63,Bulgaria,Southern Europe,Europe,4
2019,12,Couples,63,Philippines,South East Asia,Asia,5
2019,12,Couples,63,Indonesia,South East Asia,Asia,5
2019,12,Friends,63,Norway,Northern Europe,Europe,5
2019,12,Couples,63,Sweden,Northern Europe,Europe,4
2019,11,Family,63,Canada,Northern America,America,4
2019,12,Couples,63,Canada,Northern America,America,4
2019,12,Couples,63,Canada,Northern America,America,4
2019,12,Couples,63,United Kingdom,Western Europe,Europe,4
2019,12,Family,63,Australia,Australia,Australia & Oceania,5
2019,12,Family,63,Qatar,Middle East,Asia,5
2019,12,Couples,63,Philippines,South East Asia,Asia,5
2019,11,Couples,63,United States,Northern America,America,5
2019,12,Couples,63,Canada,Northern America,America,5
2019,12,Solo,63,Netherlands,Western Europe,Europe,5
2019,12,Couples,63,Australia,Australia,Australia & Oceania,4
